id,OF_distance_first4,OF_distance,OF_corner_pct,OF_periphery_pct,OF_immobile_pct,OF_center_pct,LD_distance_light,LD_transitions,LD_light_first4,LD_light_pct,VC_top_distance_first4,VC_top_time_first4,VC_top_distance,VC_top_time_pct,VC_top_velocity,VC_bottom_distance_first4,VC_bottom_time_first4,VC_bottom_distance,VC_bottom_time_pct,VC_bottom_velocity,VC_bottom_transitions,HP_latency,TS_frequency_climbing,TS_time_immobile,TS_latency_immobile,bw
206,1272.93,4464.38,39.85,8.84,90.05,11.71,2496.84,35.00,46.65,28.47,1123.66,120.45,3256.22,45.57,5.99,1240.03,119.55,4249.02,54.43,6.77,61.00,12.29,3,70.27,0.27,19.2
207,1321.23,4787.16,52.70,8.96,93.72,3.41,4066.79,36.00,79.65,51.26,1506.12,143.50,5035.65,70.70,6.15,1242.73,87.79,3145.86,28.58,9.19,33.00,5.61,0,150.82,1.33,29.3
208,988.14,4737.94,47.90,19.36,84.04,2.17,1343.22,22.00,28.93,13.30,1489.73,213.07,5030.53,69.18,6.22,518.70,26.93,3364.23,30.82,11.59,42.00,18.42,0,145.95,2.87,22.0
210,1887.76,6272.90,64.38,14.79,75.47,0.76,3867.52,25.00,43.98,49.05,1444.61,119.32,4192.13,37.04,9.45,1253.34,117.08,5455.79,62.66,7.50,92.00,5.94,0,31.03,0.07,19.8
211,1402.91,5874.70,38.35,16.32,87.55,1.94,1492.83,18.00,45.28,20.06,1596.36,232.29,4194.98,89.55,3.98,110.27,7.71,1594.42,10.45,14.13,14.00,16.76,0,118.45,1.47,22.2
213,998.03,3725.38,40.75,30.01,94.32,2.91,1892.96,32.00,72.91,17.32,1148.49,210.20,3736.50,82.64,4.03,292.88,29.80,2007.69,17.36,9.83,41.00,10.67,0,154.49,1.40,22.2
214,2109.82,7731.06,46.82,6.87,75.24,3.97,4395.21,48.00,120.58,37.63,1893.88,220.32,6014.09,56.90,8.98,281.24,19.68,4473.81,43.10,12.65,66.00,15.21,0,148.95,0.60,32.3
215,701.17,3151.71,49.45,3.55,97.80,7.21,503.38,8.00,29.89,10.55,991.10,204.70,2733.14,91.14,2.61,340.64,28.23,910.80,8.27,9.38,13.00,9.73,0,191.52,0.67,27.2
216,770.03,4372.53,40.90,16.64,90.23,3.86,998.59,14.00,236.96,32.50,1109.36,237.90,3363.70,94.94,2.95,76.74,2.10,818.48,5.06,18.09,9.00,11.45,0,66.60,3.47,29.7
217,1673.03,5954.71,42.08,10.09,87.70,2.09,3223.89,39.00,44.34,39.18,2227.25,199.07,6653.29,72.43,7.63,407.92,33.16,3028.38,26.93,10.60,31.00,10.22,0,149.55,0.13,34.9
218,2068.27,7222.90,63.02,5.02,79.74,2.41,3149.25,43.00,107.64,33.82,1187.64,200.26,4309.92,87.36,4.23,563.61,39.74,1942.25,12.64,13.95,42.00,7.75,0,108.71,0.67,27.2
219,1490.05,5279.78,35.04,25.43,85.13,3.53,4338.60,44.00,83.58,46.22,1655.87,157.46,7058.41,65.40,9.23,1216.43,82.54,5076.64,34.60,12.84,74.00,6.53,0,46.05,6.27,33.5
220,785.04,3747.42,69.09,13.22,96.48,1.62,2776.60,28.00,110.04,36.72,1327.81,226.65,5611.62,86.68,5.47,70.78,1.70,1534.87,12.35,16.38,24.00,8.58,2,76.08,3.14,34.2
221,1449.76,6811.22,36.41,10.52,84.08,5.59,4718.31,28.00,138.06,63.74,1468.75,124.05,6595.72,60.50,9.23,1129.70,115.95,3745.24,39.50,8.00,30.00,13.87,0,137.07,4.47,29.9
223,1241.64,5810.01,43.19,3.69,90.03,4.38,2869.07,29.00,64.49,41.64,1465.59,217.74,5625.49,74.99,6.56,322.30,17.08,2695.80,24.58,11.51,39.00,8.95,0,61.93,2.14,38.6
226,1622.01,6697.64,62.03,9.38,80.52,2.64,5138.31,37.00,111.34,57.00,1364.48,111.51,5312.43,46.76,9.95,1461.98,128.42,5543.77,53.24,9.29,126.00,11.54,7,85.35,0.27,25.9
228,1987.08,7223.92,33.46,9.41,77.75,3.46,5123.64,41.00,133.46,56.68,2094.53,117.25,6860.82,50.46,12.10,1785.48,122.75,6687.88,49.54,11.77,165.00,10.94,0,62.80,0.80,31.3
231,480.62,3919.29,55.89,16.56,95.97,1.10,990.02,14.00,218.15,31.99,668.89,222.95,4237.22,86.50,4.40,191.13,17.05,1131.10,13.50,7.32,12.00,14.53,0,210.21,1.40,33.5
232,1340.23,5294.29,40.17,9.76,81.29,5.90,3454.66,22.00,115.18,64.90,1278.40,209.58,4783.03,82.00,5.13,320.16,20.21,1952.04,17.15,11.74,32.00,10.14,2,63.46,22.62,25.1
233,1644.11,6358.41,40.84,19.34,81.43,5.23,3414.00,29.00,107.03,47.77,1157.06,239.37,3009.54,99.95,2.64,56.91,0.63,56.91,0.05,94.75,1.00,17.76,0,93.43,2.80,35.7
234,1492.52,5532.50,42.38,9.23,88.84,2.29,4240.17,38.00,102.06,46.33,2001.72,138.97,6086.30,54.42,9.90,1552.41,101.03,4769.20,45.58,9.36,53.00,7.32,0,150.35,4.07,32.2
235,1466.11,5162.89,15.61,10.75,89.47,10.09,2151.91,25.00,51.08,27.89,1380.90,184.62,5306.45,78.97,5.66,827.24,55.38,2747.32,21.03,11.00,24.00,15.69,2,139.27,0.40,23.1
236,2800.87,11512.40,42.98,13.90,59.47,2.96,3427.40,41.00,77.48,34.46,1294.10,132.73,4977.53,52.01,8.10,1178.59,97.96,5222.22,47.21,9.30,68.00,5.13,5,103.44,1.80,22.6
237,794.34,3586.81,83.42,9.53,94.21,0.48,2564.33,18.00,166.63,77.76,821.40,221.95,3728.66,98.17,3.29,168.99,17.08,207.90,1.75,28.17,6.00,9.66,2,136.60,2.54,21.1
238,796.90,4531.94,48.72,20.91,80.87,5.56,1905.90,26.00,100.43,30.88,1361.40,208.60,3793.38,84.22,3.93,450.26,31.40,1968.00,15.78,10.16,28.00,23.38,2,134.87,3.60,16.6
239,1695.82,7525.15,32.72,19.27,61.42,3.75,3569.98,40.00,67.67,39.02,1499.75,173.87,5802.42,63.00,8.03,679.38,66.13,2997.32,37.00,8.06,32.00,8.07,0,21.15,0.33,22.6
240,649.17,2820.48,71.67,22.42,80.58,0.01,1690.99,21.00,97.36,41.81,1121.48,237.56,4375.84,96.73,3.81,46.78,2.44,518.84,3.27,21.44,8.00,10.11,0,152.95,8.48,21.9
243,1053.93,3960.41,38.99,12.79,95.39,1.80,1162.80,18.00,26.53,10.22,1148.72,105.40,3536.08,35.87,8.23,1606.68,134.60,4803.15,64.13,6.57,40.00,12.31,0,116.18,14.48,36.9
244,870.74,3717.49,35.31,13.09,95.00,1.75,2395.62,17.00,60.25,31.33,1269.78,177.21,4418.54,77.36,4.81,630.08,62.79,1998.54,22.64,7.28,39.00,9.78,0,81.95,1.40,33.4
245,1300.68,5060.52,44.08,12.98,93.03,3.80,2415.71,9.00,71.60,63.61,1120.33,209.80,3801.31,93.02,3.46,273.71,20.79,878.93,6.20,12.12,25.00,6.08,0,61.46,1.07,34.4
246,1092.24,5281.90,50.46,15.17,87.65,2.79,4027.65,31.00,70.57,53.08,1387.81,158.05,6358.85,61.70,8.62,1053.08,81.95,4594.60,38.30,10.19,49.00,8.46,0,44.31,0.20,29.7
247,658.72,4854.14,64.32,5.58,92.21,1.07,1893.50,15.00,38.81,28.80,1316.67,209.57,4293.65,54.83,7.61,443.90,30.43,2852.15,45.17,7.34,17.00,3.80,1,118.59,0.73,29.8
248,1183.96,6711.75,49.40,0.56,84.72,3.04,3929.54,29.00,106.97,44.65,2015.34,132.37,8343.00,65.60,10.94,1486.08,107.63,4855.71,34.40,11.79,61.00,3.90,0,27.96,12.95,34.8
250,1428.69,5069.09,45.72,5.09,91.40,3.23,3230.96,35.00,105.44,42.20,1684.86,148.61,4433.58,80.98,5.11,1082.10,91.39,2046.09,19.02,8.18,28.00,11.90,0,88.62,6.07,31.1
251,2276.62,7583.25,51.65,7.25,76.36,4.10,6097.99,41.00,113.95,63.92,2077.87,142.04,6676.16,64.92,9.00,1532.40,97.96,4741.26,35.08,11.81,89.00,6.53,0,43.38,10.08,23.6
252,1637.44,6871.68,44.56,11.79,79.24,2.24,5826.94,55.00,103.06,51.69,1409.67,178.10,4550.32,48.09,8.75,710.49,61.90,4168.52,51.91,8.38,39.00,10.60,0,134.53,0.40,21.1
253,2446.55,10480.49,29.53,6.41,58.72,7.48,5372.24,55.00,134.07,54.24,1449.80,87.59,6347.41,40.85,13.78,1826.96,143.00,7561.35,58.37,11.20,117.00,3.21,9,81.15,2.07,19.2
256,833.95,5722.51,49.09,30.64,89.17,2.02,3916.98,30.00,80.27,45.13,1057.12,239.77,4385.47,93.87,4.12,11.23,0.23,675.96,6.13,34.01,28.00,12.11,0,124.32,14.48,26.2
257,1672.11,8628.27,39.61,14.93,69.51,2.61,4998.95,59.00,79.35,47.39,1655.89,185.71,5560.95,45.55,10.81,831.97,54.19,6773.14,54.45,12.02,94.00,10.25,0,108.84,3.14,20.2
258,900.02,5186.33,57.63,8.87,82.44,1.28,4877.29,45.00,114.61,56.85,1458.34,228.62,5351.17,73.48,6.47,228.68,11.38,3619.66,26.52,13.23,58.00,6.35,0,117.45,10.74,21.9
259,2077.43,6723.16,32.02,5.85,85.89,7.97,4477.76,36.00,102.36,49.57,1938.15,139.64,5838.29,52.96,9.16,1435.49,100.36,4674.91,47.04,8.73,91.00,7.19,4,140.87,0.07,33.3
260,1066.47,4349.38,34.00,24.15,94.58,2.52,144.93,6.00,58.36,4.86,1001.66,142.90,3435.55,73.18,4.27,859.48,97.10,2276.95,26.82,7.43,32.00,7.36,0,124.79,1.07,32.8
261,486.39,4003.63,43.90,19.88,92.13,5.27,2286.73,25.00,20.62,19.10,1236.90,131.50,2794.28,29.37,8.48,855.65,108.50,4573.13,70.63,5.70,12.00,8.68,0,88.62,4.60,30.7
263,1047.06,3690.70,16.10,14.80,96.71,15.00,1962.55,24.00,75.48,36.73,847.42,158.49,3225.82,53.49,5.00,634.28,68.07,3355.06,45.39,6.84,32.00,17.31,0,130.93,1.53,34.1
264,592.15,4059.02,56.21,12.57,96.21,0.24,285.64,8.00,59.75,5.94,1422.70,224.82,3979.32,96.56,3.62,247.45,14.01,478.23,3.35,9.52,17.00,30.00,0,135.94,18.02,24.6
265,1149.27,4385.47,40.26,22.17,92.32,2.62,234.72,6.00,33.60,4.04,1303.67,194.02,4167.79,71.72,4.91,545.09,45.98,2582.47,28.28,8.13,31.00,6.85,0,119.05,0.93,32.8
266,1127.52,7286.20,35.80,8.42,79.38,7.31,4879.31,50.00,56.06,43.13,2050.66,164.46,6790.25,62.85,9.17,1260.60,75.54,4596.87,37.15,10.94,105.00,8.64,2,91.36,9.14,36.5
268,683.07,5009.30,32.07,4.70,91.83,10.16,2879.23,28.00,74.37,44.02,1647.80,193.05,3956.07,77.57,4.30,638.84,46.95,2075.45,22.43,8.21,19.00,3.04,0,142.01,0.80,34.1
270,2492.19,8735.83,33.79,16.14,75.64,4.53,4068.51,45.00,92.73,46.40,1409.98,73.07,4858.86,33.48,12.27,2026.28,166.93,6434.48,66.52,8.47,61.00,8.11,0,76.21,5.67,26.8
271,743.82,3621.26,58.33,20.95,94.86,1.65,432.43,6.00,104.64,9.38,1111.60,236.30,3856.53,74.35,4.63,100.34,3.70,1838.61,25.65,12.34,12.00,9.98,0,66.53,10.01,29.9
273,1293.03,5380.61,26.52,10.85,91.40,2.15,3035.92,22.00,83.35,47.23,1512.11,192.09,4184.00,63.19,5.39,754.33,44.70,3174.84,36.54,8.70,43.00,9.43,0,136.54,1.74,34.1
274,1203.26,5029.54,71.23,5.56,91.48,1.26,2701.45,31.00,51.25,35.75,1610.19,183.38,3972.47,46.89,6.64,803.36,56.62,3602.29,53.11,7.34,33.00,9.36,3,105.51,2.54,36.0
275,392.82,3876.86,68.84,16.22,94.26,1.62,2555.20,25.00,89.39,36.15,1614.49,220.38,4163.15,70.91,5.24,298.93,19.02,2067.17,29.04,9.08,53.00,12.56,4,104.84,4.60,23.5
277,848.90,4299.39,60.01,9.52,92.63,0.77,1214.75,20.00,11.58,13.69,1108.29,163.26,3218.75,65.22,4.08,724.63,58.02,2414.80,33.22,6.54,18.00,2.32,1,206.87,0.53,28.9
278,1192.14,5017.28,43.20,25.57,90.08,5.13,3162.21,32.00,57.58,39.09,1638.86,146.25,4307.51,63.14,5.82,1043.03,78.37,3109.13,35.58,7.44,52.00,16.80,1,167.57,0.20,24.3
279,1227.27,6357.02,55.72,23.77,73.24,0.32,265.90,11.00,2.20,2.07,976.51,216.21,4722.81,78.22,5.29,189.97,23.79,2571.40,21.78,16.63,35.00,19.74,0,98.16,3.54,24.4
280,1716.27,7145.18,43.12,7.43,78.35,6.71,4304.80,42.00,101.86,55.06,1893.55,226.29,5821.61,75.73,6.62,179.97,7.07,2928.78,23.72,14.88,76.00,6.14,0,79.28,13.55,17.0
282,1478.97,5226.15,43.82,10.87,88.00,3.71,3226.35,26.00,156.18,55.68,1096.49,222.66,3978.56,77.25,4.45,206.70,17.34,2059.88,22.75,8.76,50.00,11.86,0,187.12,0.53,20.7
