id,OF_distance_first4,OF_distance,OF_corner_pct,OF_periphery_pct,OF_immobile_pct,OF_center_pct,LD_distance_light,LD_transitions,LD_light_first4,LD_light_pct,VC_top_distance_first4,VC_top_time_first4,VC_top_distance,VC_top_time_pct,VC_top_velocity,VC_bottom_distance_first4,VC_bottom_time_first4,VC_bottom_distance,VC_bottom_time_pct,VC_bottom_velocity,VC_bottom_transitions,HP_latency,TS_frequency_climbing,TS_time_immobile,TS_latency_immobile,bw
134,1202.61,5808.64,33.64,23.90,87.10,4.25,5135.80,47.00,115.52,57.37,1676.61,131.59,6403.72,59.29,9.20,1408.07,103.90,4561.19,40.33,9.57,57.00,5.17,0,119.72,2.47,37.5
135,1238.98,6591.01,43.35,21.65,70.82,4.01,5032.30,47.00,72.84,46.17,1437.60,108.34,6760.56,47.36,12.09,1622.03,131.66,7653.95,52.64,12.21,74.00,4.40,15,50.85,0.67,21.1
136,802.39,4406.39,60.69,3.84,92.53,0.55,3484.47,32.00,112.37,50.04,1471.93,132.93,6497.91,55.60,9.92,1128.29,107.07,5035.54,44.40,10.14,93.00,8.31,0,134.87,1.87,30.8
137,1998.16,7205.59,47.68,24.33,79.03,1.62,2470.25,26.00,71.53,36.11,1526.67,175.47,7038.59,77.05,7.72,844.32,64.53,3023.81,22.95,11.86,53.00,5.09,2,100.30,1.07,25.7
138,1711.88,6149.19,50.86,18.58,79.04,3.41,2187.86,29.00,83.28,24.79,1597.99,212.51,5579.96,86.87,5.45,687.22,27.49,2413.32,13.13,15.54,22.00,17.81,0,158.02,2.20,20.4
139,1304.82,3949.83,50.48,2.07,93.17,2.91,385.19,10.00,66.20,5.86,,,,,,,,,,,,26.60,1,83.02,0.13,21.9
140,1241.66,5442.37,43.45,3.76,71.63,4.09,3515.87,35.00,51.01,40.58,1235.22,137.70,4735.26,66.67,6.38,1267.98,102.30,4315.26,33.33,11.00,39.00,7.63,4,42.44,3.14,20.9
141,736.58,3191.31,50.90,29.14,86.47,1.13,2561.34,34.00,41.21,33.04,894.19,164.42,3339.67,84.91,3.46,655.70,74.04,1678.63,14.96,10.08,20.00,8.85,0,203.14,0.33,36.3
142,1991.04,5175.59,46.79,7.95,85.74,2.64,3600.21,20.00,90.79,65.25,1651.92,215.01,4935.18,97.74,4.32,427.54,24.82,465.02,2.24,17.68,24.00,11.42,0,176.31,0.67,23.9
143,1111.76,6025.37,57.22,6.65,85.33,3.21,3925.75,30.00,56.19,51.10,1845.84,188.75,6129.86,63.85,8.12,632.41,51.25,3502.18,36.15,9.35,55.00,7.91,0,152.55,1.20,21.8
144,1691.01,7301.34,33.51,7.11,88.35,3.13,202.96,5.00,58.56,4.88,1740.70,216.14,5103.43,95.78,4.56,172.21,15.88,382.38,3.56,22.78,7.00,10.59,0,110.71,5.01,37.9
145,2086.55,7006.12,56.21,5.73,87.68,2.41,3642.70,34.00,23.12,46.52,1508.93,209.87,4571.16,81.31,4.72,254.18,21.29,1763.67,17.96,9.11,29.00,6.43,0,153.35,0.80,34.3
146,969.47,3559.65,22.96,3.41,93.88,5.67,2573.47,22.00,118.72,48.02,812.57,76.88,4239.82,50.47,7.38,1184.06,163.12,3945.00,49.53,6.84,35.00,4.63,0,39.71,1.60,29.5
147,1065.29,4346.19,62.96,12.10,94.57,1.47,2655.51,28.00,64.26,36.90,1582.04,187.58,6138.06,82.40,6.46,678.45,52.42,2164.52,17.60,11.95,36.00,12.19,0,156.56,11.54,37.3
148,1325.35,5606.17,35.97,24.36,81.50,1.63,4138.26,29.00,128.86,57.97,1863.01,161.09,5315.03,52.08,8.32,1044.86,72.24,4638.90,47.36,8.76,43.00,6.72,0,56.92,6.34,25.5
149,1058.57,3275.22,46.95,13.55,94.76,0.28,1493.38,20.00,37.50,21.11,1709.39,162.79,5115.99,69.69,6.25,830.85,73.21,2688.43,29.97,7.58,35.00,14.29,0,75.34,3.20,37.8
150,914.72,3659.25,63.95,10.30,93.32,0.88,2127.11,16.00,71.10,55.22,1275.30,202.16,3814.79,74.53,4.36,373.41,29.00,1824.03,24.74,7.44,21.00,6.07,0,111.98,3.27,39.9
151,1444.77,8493.93,37.65,6.45,80.89,5.40,4692.88,44.00,165.30,53.86,1190.92,99.46,6419.69,56.83,9.74,1163.22,135.84,4573.85,42.78,9.28,67.00,9.47,0,102.50,0.13,31.3
152,1344.25,6279.20,37.95,2.77,87.47,3.79,5707.05,34.00,122.16,67.30,1835.00,139.40,5633.47,57.54,8.33,1343.09,91.93,4776.96,41.73,10.28,60.00,4.74,0,46.11,4.74,42.8
153,1514.11,5111.10,44.16,12.54,92.11,2.52,3377.86,21.00,37.54,48.62,1787.01,130.32,5433.01,54.96,8.34,1578.72,109.68,4748.38,45.04,9.36,85.00,26.11,0,37.44,3.87,36.6
154,1925.08,6653.27,12.39,44.57,58.66,0.84,3529.72,43.00,58.75,28.67,1198.87,116.78,5430.51,58.86,7.96,1607.58,111.44,4700.96,40.16,10.05,41.00,5.63,0,104.90,1.07,24.3
155,1560.45,5124.35,34.72,14.40,78.54,3.65,4182.88,46.00,98.99,34.78,1859.17,153.92,4752.04,47.11,8.53,1135.50,79.21,4510.76,52.32,8.10,48.00,4.42,0,162.10,3.67,23.7
